"filename", "language", "JSON", "Markdown", "Java", "comment", "blank", "total"
"c:\Users\arisp\Documents\UML_Project\DEBGAINOUNTAUML\UML\App\View\ViewSession.java", "Java", 0, 0, 42, 4, 21, 67
"c:\Users\arisp\Documents\UML_Project\DEBGAINOUNTAUML\UML\App\View\ViewTests\TestMainPage.java", "Java", 0, 0, 8, 0, 6, 14
"c:\Users\arisp\Documents\UML_Project\DEBGAINOUNTAUML\UML\App\View\View_t.java", "Java", 0, 0, 9, 0, 3, 12
"c:\Users\arisp\Documents\UML_Project\DEBGAINOUNTAUML\UML\App\View\helper_classes\AccountCellRenderer.java", "Java", 0, 0, 36, 3, 9, 48
"c:\Users\arisp\Documents\UML_Project\DEBGAINOUNTAUML\UML\App\View\helper_classes\CustomFontLoader.java", "Java", 0, 0, 16, 0, 3, 19
"c:\Users\arisp\Documents\UML_Project\DEBGAINOUNTAUML\UML\App\View\helper_classes\FontLoader.java", "Java", 0, 0, 20, 5, 7, 32
"c:\Users\arisp\Documents\UML_Project\DEBGAINOUNTAUML\UML\App\View\helper_classes\OnClickEventHelper.java", "Java", 0, 0, 23, 27, 11, 61
"c:\Users\arisp\Documents\UML_Project\DEBGAINOUNTAUML\UML\App\View\helper_classes\OnFocusEventHelper.java", "Java", 0, 0, 35, 0, 5, 40
"c:\Users\arisp\Documents\UML_Project\DEBGAINOUNTAUML\UML\App\View\helper_classes\RoundedBorder.java", "Java", 0, 0, 41, 0, 14, 55
"c:\Users\arisp\Documents\UML_Project\DEBGAINOUNTAUML\UML\App\View\helper_classes\RoundedButton.java", "Java", 0, 0, 32, 13, 12, 57
"c:\Users\arisp\Documents\UML_Project\DEBGAINOUNTAUML\UML\App\View\helper_classes\RoundedImage.java", "Java", 0, 0, 23, 12, 11, 46
"c:\Users\arisp\Documents\UML_Project\DEBGAINOUNTAUML\UML\Utils\GlobalConsts.java", "Java", 0, 0, 20, 0, 6, 26
"c:\Users\arisp\Documents\UML_Project\DEBGAINOUNTAUML\accounts.json", "JSON", 569, 0, 0, 0, 1, 570
"c:\Users\arisp\Documents\UML_Project\DEBGAINOUNTAUML\transactions.json", "JSON", 211, 0, 0, 0, 1, 212
"Total", "-", 780, 2, 4310, 456, 1423, 6971
